Activity,Division,Group,Class
Wastewater - Waste,37,,
Wastewater - Waste,38,,
Wastewater - Waste,39,,
Recycling,,383,
Water quantity,36,,
Production of renewable energy,,351,
Production of renewable energy,,352,
Production of renewable energy,,353,
Management of forests,,21,
Management of forests,,24,
Organic agriculture,1,,
Insulation activities,,,4329
Insulation activities,,,2312
Environmental construction,41,,
Environmental construction,42,,
Environmental construction,43,,
Environmental consultancy and engineering,69,,
Environmental consultancy and engineering,70,,
Environmental consultancy and engineering,,,7490
Production of industrial environmental equipment,26,,
Production of industrial environmental equipment,27,,
Production of industrial environmental equipment,28,,
Production of industrial environmental equipment,29,,
Production of industrial environmental equipment,30,,
Production of industrial environmental equipment,33,,
